organization,city,address,industry,stage,score,stage_confidence,signal_count,source_types,timing_value,timing_reason,contact_route,commercial_cleaning,it_msp,security_access_control,pest_control,commercial_insurance,signage,telecom_internet,payroll,waste_management,landscaping_snow,pos_payments
"Granite State Poker Alliance, LLC",Manchester,1279 South Willow Street,entertainment,PLANNING,69.0,0.76,3,planning_board;zoning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.9,61.9,71.9,36.9,61.9,36.9,61.9,36.9,36.9,36.9,36.9
"Aranosian Oil Company, Inc",Manchester,1265 South Willow Street,restaurant,PLANNING,69.0,0.76,2,planning_board;zoning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,96.9,96.9,71.9,71.9,61.9,36.9,61.9,36.9,71.9,36.9,71.9
Brook Hollow Corporation,Manchester,275 Hooksett Road,other,PLANNING,67.1,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.7,61.7,36.7,36.7,61.7,36.7,61.7,36.7,36.7,36.7,36.7
"Greywacke, LLC",Manchester,231 Woodland Avenue,professional office,PLANNING,69.0,0.76,2,planning_board;zoning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.9,61.9,36.9,36.9,61.9,36.9,61.9,36.9,36.9,36.9,36.9
Griffin Road Realty LLC,Portsmouth,218 Griffin Rd,warehouse/logistics,PLANNING,64.1,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.4,61.4,36.4,36.4,61.4,36.4,61.4,36.4,71.4,36.4,36.4
Double MC LLC,Portsmouth,134 Pleasant Street,other,PLANNING,64.1,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.4,61.4,36.4,36.4,61.4,36.4,61.4,36.4,36.4,36.4,36.4
304 Maplewood LLC,Portsmouth,304 Maplewood Avenue,professional office,PLANNING,64.1,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.4,61.4,36.4,36.4,61.4,36.4,61.4,36.4,36.4,36.4,36.4
"Bluebird Salem, LLC",Salem,9 Northeastern Boulevard,warehouse/logistics,LOCATION_CONFIRMED,57.8,0.7,1,planning_board,HIGH,The location is known while vendors can still influence buildout choices.,,60.8,60.8,35.8,35.8,60.8,35.8,60.8,35.8,70.8,35.8,35.8
Wonder,Salem,125 South Broadway,restaurant,LOCATION_CONFIRMED,59.5,0.7,1,planning_board,HIGH,The location is known while vendors can still influence buildout choices.,,96.0,96.0,71.0,71.0,61.0,36.0,61.0,36.0,71.0,36.0,71.0
"Twenty-One Keewaydin Drive, LLC",Salem,21 Keewaydin Drive,professional office,PLANNING,64.1,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.4,61.4,36.4,36.4,61.4,36.4,61.4,36.4,36.4,36.4,36.4
"Singh Realty, LLC",Salem,9 Manor Parkway,other,PLANNING,64.1,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,61.4,61.4,36.4,36.4,61.4,36.4,61.4,36.4,36.4,36.4,36.4
"Net Lease Realty, Inc",Bedford,137 Route 101,restaurant,PLANNING,54.0,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,95.4,95.4,70.4,70.4,60.4,35.4,60.4,35.4,70.4,35.4,70.4
"Bellazardan, LLC",Bedford,30 Harvey Road,warehouse/logistics,PLANNING,49.4,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,59.9,59.9,34.9,34.9,59.9,34.9,59.9,34.9,69.9,34.9,34.9
"SRR Bedford NH Ventures, LLC",Bedford,a property located at the corner of Technology Drive and South River Road,restaurant,STALE,49.1,0.9,1,planning_board,LOW,The useful pre-opening sales window has passed or the project is inactive.,,94.9,94.9,69.9,69.9,59.9,34.9,59.9,34.9,69.9,34.9,69.9
Bedford RLG Properties LLC,Bedford,308 South River Road,other,STALE,49.1,0.9,1,planning_board,LOW,The useful pre-opening sales window has passed or the project is inactive.,,59.9,59.9,34.9,34.9,59.9,34.9,59.9,34.9,34.9,34.9,34.9
"265 SRR, LLC & Rockfish REI, LLC",Bedford,269 and 265 South River Road,professional office,PLANNING,49.4,0.72,1,planning_board,MEDIUM,"Planning evidence is early, but tenant identity or project timing may change.",,59.9,59.9,34.9,34.9,59.9,34.9,59.9,34.9,34.9,34.9,34.9
